season,driver,wins,seasons_participated,is_champion
2016,Daniel Ricciardo,1,4,0
2016,Lewis Hamilton,10,7,1
2016,Max Verstappen,1,9,0
2016,Nico Rosberg,9,1,0
2017,Daniel Ricciardo,1,4,0
2017,Lewis Hamilton,9,7,1
2017,Max Verstappen,2,9,0
2017,Sebastian Vettel,5,3,0
2017,Valtteri Bottas,2,4,0
2017,Vattteri Bottas,1,2,0
2018,Daniel Ricciardo,2,4,0
2018,Kimi Räikkönen,1,1,0
2018,Lewis Hamilton,11,7,1
2018,Max Verstappen,2,9,0
2018,Sebastian Vettel,5,3,0
2019,Charles Leclerc,1,3,0
2019,Lewis Hamilton,11,7,1
2019,Max Verstappen,3,9,0
2019,Sebastian Vettel,1,3,0
2019,Valtteri Bottas,2,4,0
2019,Vattteri Bottas,2,2,0
2020,Lewis Hamilton,9,7,1
2020,Max Verstappen,2,9,0
2020,Peter Gasly,1,1,0
2020,Sergio Pérez,1,3,0
2020,Valtteri Bottas,2,4,0
2021,Daniel Ricciardo,1,4,0
2021,Esteban Ocon,1,1,0
2021,Lewis Hamilton,7,7,0
2021,Max Verstappen,10,9,1
2021,Sergei Pérez,1,1,0
2021,Valtteri Bottas,1,4,0
2021,lewis Hamilton,1,1,0
2022,Carlos Sainz Jr,1,3,0
2022,Charles Leclerc,3,3,0
2022,George Russell,1,2,0
2022,Max Verstappen,15,9,1
2022,Sergio Pérez,2,3,0
2023,Carlos Sainz Jr,1,3,0
2023,Max Verstappen,19,9,1
2023,Sergio Pérez,2,3,0
2024,Carlos Sainz Jr,2,3,0
2024,Charles Leclerc,3,3,0
2024,George Russell,2,2,0
2024,Lando Norris,4,1,0
2024,Lewis Hamilton,2,7,0
2024,Max Verstappen,9,9,1
2024,Oscar Piastri,2,1,0
2024,Kimi Antonelli,1,1,0